practice_code,gp_name,ccg_code,generic_statins,proprietary_statins,pct_proprietary
A81001,THE DENSHAM SURGERY,00K,1725,3214,65.0739015995141
A81002,QUEENS PARK MEDICAL CENTRE,00K,44530,21219,32.2727341860713
A81003,THE GALLAGHER PRACTICE,00K,15279,3277,17.6600560465618
A81004,WOODLANDS ROAD SURGERY,00M,15474,7169,31.6609989842335
A81005,SPRINGWOOD SURGERY,00M,29496,7854,21.0281124497992
A81006,TENNANT STREET MEDICAL PRACTICE,00K,33925,14511,29.9591213147246
A81007,BANKHOUSE SURGERY,00K,24660,2805,10.212998361551099
A81008,ALBERT HOUSE CLINIC,00M,24326,6396,20.8189570991472
A81009,VILLAGE MEDICAL CENTRE,00M,27307,7151,20.7528005107667
A81011,CHADWICK PRACTICE,00K,26921,7425,21.618237931636898
A81012,WESTBOURNE MEDICAL CENTRE,00M,18003,5220,22.4777160573569
A81013,BROTTON SURGERY,00M,15538,3597,18.7980141102691
A81014,QUEENSTREE PRACTICE,00K,19712,5996,23.323479072662202
A81015,LAGAN SURGERY,00M,10340,2561,19.8511743275715
A81016,PARK SURGERY,00M,24593,9681,28.2459006827333
A81017,WOODBRIDGE PRACTICE,00K,49100,14673,23.0081696015555
A81018,BENTLEY MEDICAL PRACTICE,00M,20939,6692,24.219174116029098
A81019,CROSSFELL HEALTH CENTRE,00M,24173,8335,25.6398425003076
A81020,MARTONSIDE MEDICAL CENTRE,00M,23716,5899,19.918959986493302
A81021,NORMANBY MEDICAL CENTRE,00M,42196,15539,26.9143500476314
A81022,HILLSIDE PRACTICE,00M,30327,9499,23.851252950334
A81023,THE ENDEAVOUR PRACTICE,00M,9603,3176,24.8532749041396
A81025,THE DOVECOT SURGERY,00K,12707,3121,19.7182208743998
A81026,THE LINTHORPE SURGERY,00M,35310,9353,20.9412712983902
A81027,YARM MEDICAL PRACTICE,00K,24028,5395,18.3359956496618
A81029,PROSPECT SURGERY,00M,13954,3987,22.2228415361463
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,00M,19474,7457,27.6892800118822
A81031,HAVELOCK GRANGE PRACTICE,00K,29222,8582,22.7013014495821
A81032,THE GARTH,00M,32809,7408,18.4200711142054
A81033,OAKFIELD MEDICAL PRACTICE,00M,12946,3313,20.3764069130943
A81034,THORNABY & BARWICK MEDICAL GROUP,00K,43549,14158,24.5342852686849
A81035,NEWLANDS MEDICAL CENTRE,00M,20072,6406,24.1936702167837
A81036,NORTON MEDICAL CENTRE,00K,5472,15091,73.3890969216554
A81037,THE ERIMUS PRACTICE,00M,18816,6998,27.1093205237468
A81038,HIRSEL MEDICAL CENTRE,00M,7853,2516,24.264634969621
A81039,EAGLESCLIFFE MEDICAL PRACTICE,00K,24499,8939,26.7330581972606
A81040,MARSH HOUSE MEDICAL PRACTICE,00K,18443,6332,25.558022199798202
A81041,HART MEDICAL PRACTICE,00K,23697,6952,22.6826323860485
A81042,SOUTH GRANGE MEDICAL CENTRE,00M,22340,5506,19.773037420096202
A81043,THE MANOR HOUSE SURGERY,00M,24966,8831,26.1295381246856
A81044,MCKENZIE HOUSE SURGERY,00K,54601,13033,19.269893840376103
A81045,THE COATHAM ROAD SURGERY,00M,28461,10086,26.1654603471087
A81046,WOODLANDS FAMILY MEDICAL CENTRE,00K,24402,7616,23.7866200262352
A81047,MARSKE MEDICAL CENTRE,00M,27024,8871,24.7137484329294
A81048,ZETLAND MEDICAL PRACTICE,00M,26471,5538,17.301383985754
A81049,KINGS MEDICAL CENTRE,00M,23178,5725,19.8076324256998
A81051,CAMBRIDGE MEDICAL GROUP,00M,18384,6077,24.8436286333347
A81052,THE GREEN HOUSE SURGERY,00M,22973,7997,25.8217629964482
A81053,WOODSIDE SURGERY,00M,32889,8132,19.8239925891616
A81054,THE SALTSCAR SURGERY,00M,26388,6460,19.6663419386264
A81056,MELROSE SURGERY,00K,9356,1120,10.6911034746086
A81057,KINGSWAY MEDICAL CENTRE,00K,19026,5551,22.586157789803497
A81058,COULBY MEDICAL PRACTICE,00M,16346,4674,22.2359657469077
A81060,THE KOH PRACTICE,00K,9263,1327,12.5306893295562
A81063,THE HEADLAND MEDICAL CENTRE,00K,19304,6117,24.0627827386806
A81064,THE DISCOVERY PRACTICE,00M,8409,2724,24.467798437079
A81065,THE ESTON SURGERY,00M,11563,3858,25.017832825368004
A81066,PARK LANE SURGERY,00K,16505,4867,22.7727868238817
A81067,ALMA MEDICAL CENTRE,00K,22632,6206,21.5202163811637
A81069,RAINBOW SURGERY,00M,6556,1434,17.9474342928661
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,00K,4245,1109,20.7134852446769
A81602,DR RASOOL,00K,11593,3074,20.9586145769414
A81605,PARK AVENUE SURGERY,00M,7890,2306,22.6167124362495
A81608,ELM TREE SURGERY,00K,5195,2170,29.463679565512603
A81609,A & B MEDICAL PRACTICE,00K,3972,935,19.0544120643978
A81610,THE ROSEBERRY PRACTICE,00K,19766,5785,22.6409925247544
A81611,PARKWAY MEDICAL CENTRE,00M,10365,2430,18.9917936694021
A81612,THE PATEL PRACTICE,00K,9541,1544,13.9287325214253
A81613,JOURNEE MEDICAL PRACTICE,00K,7470,2470,24.8490945674044
A81618,HUNTCLIFF SURGERY,00M,19306,5427,21.942344236445198
A81621,THORNTREE SURGERY,00M,3612,1369,27.4844408753262
A81622,GLADSTONE HOUSE SURGERY,00K,12253,5390,30.550359916114
A81623,DR SYED,00K,3345,844,20.1480066841728
A81629,RIVERSIDE MEDICAL PRACTICE,00K,11189,2424,17.806508484536803
A81630,FULCRUM MEDICAL PRACTICE,00M,116,150,56.390977443609
A81631,WEST VIEW MILLENIUM SURGERY A,00K,13521,3166,18.9728531191946
A81632,LAWSON STREET PRACTICE,00K,506,40,7.32600732600733
A81633,HAVEN MEDICAL CENTRE,00M,209,21,9.1304347826087
A81634,THE ARRIVAL PRACTICE,00K,907,128,12.3671497584541
A82003,ULVERSTON HEALTH CENTRE (MURRAY),01H,17710,5264,22.9128580134065
A82004,ALSTON MEDICAL PRACTICE,01H,7626,1832,19.3698456333263
A82005,AMBLESIDE HEALTH CENTRE,01H,10316,4206,28.9629527613276
A82006,APPLEBY MEDICAL PRACTICE,01H,11442,3102,21.3283828382838
A82007,DUKE STREET SURGERY,01H,22519,3009,11.7870573487935
A82008,NORWOOD MEDICAL CENTRE,01H,29720,8403,22.041812029483502
A82009,BRIDGEGATE MEDICAL CENTRE,01H,34264,9857,22.3408354298407
A82010,ABBEY ROAD SURGERY,01H,19061,3537,15.6518275953624
A82011,HARTINGTON STREET MEDICAL PRACTICE,01H,6808,2724,28.577423415862402
A82012,BRAMPTON MEDICAL PRACTICE,01H,59963,12858,17.6569945482759
A82013,UPPER EDEN MEDICAL PRACTICE,01H,14781,9455,39.0122132365077
A82014,CALDBECK SURGERY,01H,14612,3793,20.6085302906819
A82015,WARWICK ROAD SURGERY,01H,13105,2756,17.3759535968728
A82016,ST PAUL'S MEDICAL PRACTICE,01H,27991,7359,20.8175388967468
A82017,BRUNSWICK HOUSE MEDICAL GROUP,01H,26418,6628,20.0568903952067
A82018,SPENCER ST SURGERY,01H,21537,4771,18.1351680097309
A82019,FUSEHILL MEDICAL PRACTICE,01H,18512,5036,21.3861049770681
A82020,EDEN MEDICAL GROUP,01H,20643,5044,19.636391949234998
A82021,CASTLEGATE SURGERY,01H,30346,4083,11.8591884748323
A82022,DALSTON MEDICAL GROUP,01H,21383,5618,20.806636791229998
A82023,DISTINGTON SURGERY,01H,17450,2946,14.444008629143
A82024,SEASCALE HEALTH CENTRE,01H,21342,5876,21.5886545668308
A82025,CAPTAIN FRENCH SURGERY,01H,20699,5781,21.8315709969789
A82026,THE JAMES COCHRANE PRACT.,01H,43321,12375,22.2188307957483
A82027,STATION HOUSE SURGERY,01H,40522,8936,18.0678555542076
A82028,CASTLEHEAD MEDICAL CENTRE,01H,24048,3276,11.9894598155468
A82029,THE CROFT SURGERY,01H,8647,1120,11.4671854202928
A82030,LUNESDALE SURGERY,01H,14226,9021,38.805007097689995
A82031,SHAP MEDICAL PRACTICE,01H,9672,2689,21.753903405873302
A82032,MARYPORT HEALTH SERVICES,01H,42232,9394,18.1962576996087
A82033,WATERLOO HOUSE SURGERY,01H,13951,6078,30.345998302461403
A82034,STONELEIGH SURGERY,01H,19082,7311,27.7005266547948
A82035,BIRBECK MEDICAL GROUP,01H,24863,7568,23.335697326631898
A82036,THE LAKES MEDICAL PRACTICE,01H,26066,4799,15.548355742750699
A82037,SILLOTH GROUP MEDICAL PRACTICE,01H,18930,2336,10.9846703658422
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,01H,9809,7238,42.4590837097437
A82039,DALTON SURGERY,01H,16119,5351,24.923148579413102
A82040,CATHERINE STREET SURGERY,01H,13060,841,6.04992446586576
A82041,LOWTHER MEDICAL CENTRE,01H,30823,8557,21.7293042153377
A82044,FELLVIEW HEALTHCARE LTD,01H,58298,10949,15.811515300301801
A82045,WIGTON GROUP MEDICAL PRACTICE,01H,27439,2234,7.5287298217234495
A82046,WINDERMERE HEALTH CENTRE,01H,15170,4907,24.4409025252777
A82047,JAMES STREET GROUP PRACT,01H,30563,7915,20.5701959561308
A82048,BEECHWOOD GROUP PRACTICE,01H,15651,7594,32.6693912669391
