"Practice.code","Generic_statins","Proprietary_statins","pct_proprietary"
"A81001",1725,3214,0.650739015995141
"A81002",44530,21219,0.322727341860713
"A81003",15279,3277,0.176600560465618
"A81004",15474,7169,0.316609989842335
"A81005",29496,7854,0.210281124497992
"A81006",33925,14511,0.299591213147246
"A81007",24660,2805,0.102129983615511
"A81008",24326,6396,0.208189570991472
"A81009",27307,7151,0.207528005107667
"A81010",NA,3,NA
"A81011",26921,7425,0.216182379316369
"A81012",18003,5220,0.224777160573569
"A81013",15538,3597,0.187980141102691
"A81014",19712,5996,0.233234790726622
"A81015",10340,2561,0.198511743275715
"A81016",24593,9681,0.282459006827333
"A81017",49100,14673,0.230081696015555
"A81018",20939,6692,0.242191741160291
"A81019",24173,8335,0.256398425003076
"A81020",23716,5899,0.199189599864933
"A81021",42196,15539,0.269143500476314
"A81022",30327,9499,0.23851252950334
"A81023",9603,3176,0.248532749041396
"A81025",12707,3121,0.197182208743998
"A81026",35310,9353,0.209412712983902
"A81027",24028,5395,0.183359956496618
"A81029",13954,3987,0.222228415361463
"A81030",19474,7457,0.276892800118822
"A81031",29222,8582,0.227013014495821
"A81032",32809,7408,0.184200711142054
"A81033",12946,3313,0.203764069130943
"A81034",43549,14158,0.245342852686849
"A81035",20072,6406,0.241936702167837
"A81036",5472,15091,0.733890969216554
"A81037",18816,6998,0.271093205237468
"A81038",7853,2516,0.24264634969621
"A81039",24499,8939,0.267330581972606
"A81040",18443,6332,0.255580221997982
"A81041",23697,6952,0.226826323860485
"A81042",22340,5506,0.197730374200962
"A81043",24966,8831,0.261295381246856
"A81044",54601,13033,0.192698938403761
"A81045",28461,10086,0.261654603471087
"A81046",24402,7616,0.237866200262352
"A81047",27024,8871,0.247137484329294
"A81048",26471,5538,0.17301383985754
"A81049",23178,5725,0.198076324256998
"A81051",18384,6077,0.248436286333347
"A81052",22973,7997,0.258217629964482
"A81053",32889,8132,0.198239925891616
"A81054",26388,6460,0.196663419386264
"A81056",9356,1120,0.106911034746086
"A81057",19026,5551,0.225861577898035
"A81058",16346,4674,0.222359657469077
"A81060",9263,1327,0.125306893295562
"A81063",19304,6117,0.240627827386806
"A81064",8409,2724,0.24467798437079
"A81065",11563,3858,0.25017832825368
"A81066",16505,4867,0.227727868238817
"A81067",22632,6206,0.215202163811637
"A81068",NA,1,NA
"A81069",6556,1434,0.179474342928661
"A81070",4245,1109,0.207134852446769
"A81602",11593,3074,0.209586145769414
"A81605",7890,2306,0.226167124362495
"A81608",5195,2170,0.294636795655126
"A81609",3972,935,0.190544120643978
"A81610",19766,5785,0.226409925247544
"A81611",10365,2430,0.189917936694021
"A81612",9541,1544,0.139287325214253
"A81613",7470,2470,0.248490945674044
"A81618",19306,5427,0.219423442364452
"A81620",2701,807,0.230045610034208
"A81621",3612,1369,0.274844408753262
"A81622",12253,5390,0.30550359916114
"A81623",3345,844,0.201480066841728
"A81629",11189,2424,0.178065084845368
"A81630",116,150,0.56390977443609
"A81631",13521,3166,0.189728531191946
"A81632",506,40,0.0732600732600733
"A81633",209,21,0.091304347826087
"A81634",907,128,0.123671497584541
"A82003",17710,5264,0.229128580134065
"A82004",7626,1832,0.193698456333263
"A82005",10316,4206,0.289629527613276
"A82006",11442,3102,0.213283828382838
"A82007",22519,3009,0.117870573487935
"A82008",29720,8403,0.220418120294835
"A82009",34264,9857,0.223408354298407
"A82010",19061,3537,0.156518275953624
"A82011",6808,2724,0.285774234158624
"A82012",59963,12858,0.176569945482759
"A82013",14781,9455,0.390122132365077
"A82014",14612,3793,0.206085302906819
"A82015",13105,2756,0.173759535968728
"A82016",27991,7359,0.208175388967468
"A82017",26418,6628,0.200568903952067
"A82018",21537,4771,0.181351680097309
"A82019",18512,5036,0.213861049770681
"A82020",20643,5044,0.19636391949235
"A82021",30346,4083,0.118591884748323
"A82022",21383,5618,0.2080663679123
"A82023",17450,2946,0.14444008629143
"A82024",21342,5876,0.215886545668308
"A82025",20699,5781,0.218315709969789
"A82026",43321,12375,0.222188307957483
"A82027",40522,8936,0.180678555542076
"A82028",24048,3276,0.119894598155468
"A82029",8647,1120,0.114671854202928
"A82030",14226,9021,0.3880500709769
"A82031",9672,2689,0.217539034058733
"A82032",42232,9394,0.181962576996087
"A82033",13951,6078,0.303459983024614
"A82034",19082,7311,0.277005266547948
"A82035",24863,7568,0.233356973266319
"A82036",26066,4799,0.155483557427507
"A82037",18930,2336,0.109846703658422
"A82038",9809,7238,0.424590837097437
"A82039",16119,5351,0.249231485794131
"A82040",13060,841,0.0604992446586576
"A82041",30823,8557,0.217293042153377
"A82042",8442,2348,0.217608897126969
"A82044",58298,10949,0.158115153003018
"A82045",27439,2234,0.0752872982172345
"A82046",15170,4907,0.244409025252777
"A82047",30563,7915,0.205701959561308
"A82048",15651,7594,0.326693912669391
"A82049",12940,1951,0.131018736149352
"A82050",16764,3498,0.172638436482085
"A82052",10760,2528,0.190246839253462
"A82053",16613,4627,0.217843691148776
"A82055",20356,4539,0.182325768226552
"A82057",17193,4919,0.222458393632417
"A82058",10788,2559,0.191728478309733
"A82060",7145,1106,0.134044358259605
"A82062",8303,2894,0.258462088059302
"A82063",5879,2945,0.333748866727108
"A82064",18336,4005,0.179266818853229
"A82065",13943,3483,0.199873751865029
"A82068",8176,1822,0.182236447289458
"A82070",10800,6600,0.379310344827586
"A82071",16983,4266,0.200762388818297
"A82072",16522,3648,0.180862667327714
"A82074",9408,2431,0.205338288706816
"A82075",13337,2561,0.161089445213234
"A82077",9568,4049,0.29734890210766
"A82607",2817,731,0.206031567080045
"A82608",15453,4258,0.216021510831515
"A82613",1750,457,0.207068418667875
"A82614",4612,439,0.0869134824787171
"A82617",6482,2582,0.28486319505737
"A82618",121,38,0.238993710691824
"A82619",3312,885,0.210864903502502
"A82620",2542,379,0.129750085587128
"A82621",6498,317,0.0465150403521643
"A82622",44,38,0.463414634146341
"A82623",19424,2785,0.125399612769598
"A82625",1075,110,0.0928270042194093
"A82629",10279,3206,0.237745643307379
"A82630",3252,376,0.103638368246968
"A82631",9522,2591,0.213902418888797
"A82632",409,108,0.20889748549323
"A82635",5499,1132,0.170713316241894
"A82641",4928,702,0.124689165186501
"A82642",3544,966,0.214190687361419
"A82645",2077,695,0.250721500721501
"A82646",11354,2811,0.198446876103071
"A82647",8041,2841,0.261073332108068
"A82649",1919,474,0.198077726702883
"A82650",5734,2192,0.276558163007822
"A82651",7273,4304,0.371771616135441
"A82654",10864,1327,0.10885079156755
"A83001",24247,13835,0.363294995010766
"A83003",25613,7577,0.228291654112685
"A83004",18974,4358,0.186782101834391
"A83005",38636,16227,0.295773107558828
"A83006",18826,3618,0.161201211905186
"A83007",35342,12646,0.26352421438693
"A83008",23497,7270,0.236292131179511
"A83009",24545,5607,0.185957813743699
"A83010",31699,11726,0.270028785261946
"A83011",22386,7349,0.24714982344039
"A83012",57452,17647,0.234983155567984
"A83013",26206,6970,0.210091632505426
"A83014",21462,7315,0.254196059352955
"A83015",34918,9896,0.220823849689829
"A83016",37313,11572,0.236718829906924
"A83017",21910,5898,0.212097238204833
"A83018",51359,14343,0.218303856808012
"A83019",17780,5889,0.248806455701551
"A83020",33784,11896,0.260420315236427
"A83021",39992,18424,0.315393043001917
"A83022",58325,21048,0.265178335202147
"A83023",34145,9590,0.219275180061735
"A83024",16821,6691,0.284578087784961
"A83025",32353,13012,0.286829053234873
"A83026",25356,7572,0.229956268221574
"A83027",9167,2017,0.180346924177396
"A83028",32949,9566,0.225002940138775
"A83029",12165,3777,0.236921339856982
"A83030",29253,9219,0.239628820960699
"A83031",31618,7188,0.185229088285317
"A83032",11641,6294,0.350933928073599
"A83033",25804,6030,0.189420116856192
"A83034",18229,7745,0.298182798182798
"A83035",25401,6975,0.215437361008154
"A83036",24358,6540,0.211664185384167
"A83037",52893,19102,0.265323980832002
"A83038",17885,4596,0.20443930430141
"A83040",29750,9426,0.240606493771697
"A83041",33570,12016,0.263589698591673
"A83042",17542,10804,0.381147251816835
"A83043",12260,4744,0.278993178075747
